Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
Logisticregression;10000;0.2794613838195801;938;1632;312;318;0.803125;0.7504;0.7468152866242038;0.7486033519553074
SGDClassifier;10000;1.4296066761016846;860;1690;254;396;0.796875;0.7719928186714542;0.6847133757961783;0.7257383966244726
LinearSVC;10000;0.4220731258392334;1064;1579;365;192;0.8259375;0.7445766270118964;0.8471337579617835;0.7925512104283053
GaussianNB;10000;1.645949125289917;628;1701;243;628;0.7278125;0.7210103329506314;0.5;0.5905030559473436
DecisionTreeClassifier;10000;59.99593186378479;1169;1524;420;87;0.8415625;0.73568281938326;0.9307324840764332;0.8217926186291741
RandomForestClassifier;10000;9.19135594367981;1122;1700;244;134;0.881875;0.821376281112738;0.893312101910828;0.8558352402745996
MLPClassifier;10000;388.83033990859985;1151;1588;356;105;0.8559375;0.7637690776376908;0.9164012738853503;0.8331523706116539
Logisticregression;10000;0.24404025077819824;894;1674;326;306;0.8025;0.7327868852459016;0.745;0.7388429752066116
SGDClassifier;10000;1.3349072933197021;985;1543;457;215;0.79;0.6830790568654647;0.8208333333333333;0.745647236941711
LinearSVC;10000;0.3632652759552002;1009;1623;377;191;0.8225;0.727994227994228;0.8408333333333333;0.7803557617942769
GaussianNB;10000;1.4299898147583008;591;1760;240;609;0.7346875;0.7111913357400722;0.4925;0.5819793205317577
DecisionTreeClassifier;10000;62.9326868057251;1099;1615;385;101;0.848125;0.7405660377358491;0.9158333333333334;0.8189269746646796
RandomForestClassifier;10000;9.68230128288269;1068;1749;251;132;0.8803125;0.8097043214556482;0.89;0.8479555379118698
MLPClassifier;10000;386.67388916015625;1083;1637;363;117;0.85;0.7489626556016598;0.9025;0.8185941043083901
Logisticregression;10000;0.27879929542541504;968;1612;284;336;0.80625;0.7731629392971247;0.7423312883435583;0.757433489827856
SGDClassifier;10000;1.4189648628234863;1062;1458;438;242;0.7875;0.708;0.8144171779141104;0.7574893009985735
LinearSVC;10000;0.44173574447631836;1075;1570;326;229;0.8265625;0.7673090649536045;0.8243865030674846;0.7948243992606284
GaussianNB;10000;1.644702434539795;644;1658;238;660;0.719375;0.7301587301587301;0.4938650306748466;0.5892040256175664
DecisionTreeClassifier;10000;60.852293491363525;1195;1514;382;109;0.8465625;0.7577679137603044;0.9164110429447853;0.829573064908018
RandomForestClassifier;10000;10.637665510177612;1134;1664;232;170;0.874375;0.8301610541727672;0.8696319018404908;0.8494382022471911
MLPClassifier;10000;429.01885867118835;1172;1560;336;132;0.85375;0.7771883289124668;0.8987730061349694;0.833570412517781
Logisticregression;10000;0.242600679397583;914;1612;333;341;0.789375;0.7329591018444266;0.7282868525896414;0.7306155075939248
SGDClassifier;10000;1.3232753276824951;949;1571;374;306;0.7875;0.7173091458805745;0.7561752988047808;0.7362296353762607
LinearSVC;10000;0.3460521697998047;1041;1567;378;214;0.815;0.733615221987315;0.8294820717131474;0.7786088257292445
GaussianNB;10000;1.6431162357330322;595;1693;252;660;0.715;0.7024793388429752;0.47410358565737054;0.566127497621313
DecisionTreeClassifier;10000;59.610697984695435;1128;1520;425;127;0.8275;0.7263361236316807;0.8988047808764941;0.8034188034188036
RandomForestClassifier;10000;9.286391019821167;1076;1702;243;179;0.868125;0.8157695223654283;0.8573705179282869;0.8360528360528361
MLPClassifier;10000;465.1720128059387;1124;1581;364;131;0.8453125;0.7553763440860215;0.895617529880478;0.8195406489245352
Logisticregression;10000;0.24172377586364746;960;1641;281;318;0.8128125;0.7735697018533441;0.7511737089201878;0.7622072250893211
SGDClassifier;10000;1.3314759731292725;1094;1419;503;184;0.7853125;0.6850344395742016;0.8560250391236307;0.7610434782608696
LinearSVC;10000;0.3803751468658447;1065;1598;324;213;0.8321875;0.7667386609071274;0.8333333333333334;0.7986501687289088
GaussianNB;10000;1.434568166732788;618;1691;231;660;0.7215625;0.7279151943462897;0.4835680751173709;0.5811001410437235
DecisionTreeClassifier;10000;59.401020526885986;1174;1515;407;104;0.8403125;0.7425679949399114;0.918622848200313;0.8212661769849597
RandomForestClassifier;10000;9.90902042388916;1119;1682;240;159;0.8753125;0.8233995584988962;0.8755868544600939;0.8486916951080773
MLPClassifier;10000;378.77217173576355;1142;1589;333;136;0.8534375;0.7742372881355932;0.8935837245696401;0.8296403922993099
